學年度,學校代碼,學校名稱,縣市名稱,體系別,在校生總數,區域,設立別,休學人數,在學人數_S,休學率,退學人數,退學率,專任教師數,生師比,公私立
108,1075,文藻外語大學,高雄市,2 技職,9321,南部,,,,,,,,,未知
108,1076,華夏科技大學,新北市,2 技職,4036,北部,,,,,,,,,未知
108,1077,慈濟科技大學,花蓮縣,2 技職,3064,東部,,,,,,,,,未知
108,1078,致理科技大學,新北市,2 技職,11369,北部,,,,,,,,,未知
108,1079,康寧大學,臺北市,2 技職,3107,北部,,,,,,,,,未知
108,1080,宏國德霖科技大學,新北市,2 技職,5732,北部,,,,,,,,,未知
108,1081,東方設計大學,高雄市,2 技職,2273,南部,,,,,,,,,未知
108,1082,崇右影藝科技大學,基隆市,2 技職,2014,北部,,,,,,,,,未知
108,1083,台北海洋科技大學,新北市,2 技職,4440,北部,,,,,,,,,未知
108,1125,中信金融管理學院,臺南市,1 一般,718,南部,,,,,,,,,未知
108,1148,大漢技術學院,花蓮縣,2 技職,1075,東部,私立,,,,,,44.0,24.4,私立
108,1159,和春技術學院,高雄市,2 技職,979,南部,私立,,,,,,49.0,20.0,私立
108,1166,亞東技術學院,新北市,2 技職,4497,北部,私立,,,,,,154.0,29.2,私立
108,1168,南亞技術學院,桃園市,2 技職,2689,北部,,,,,,,,,未知
108,1176,稻江科技暨管理學院,嘉義縣,2 技職,126,南部,私立,,,,,,46.0,2.7,私立
108,1182,蘭陽技術學院,宜蘭縣,2 技職,667,東部,私立,,,,,,51.0,13.1,私立
108,1183,黎明技術學院,新北市,2 技職,5060,北部,私立,,,,,,158.0,32.0,私立
108,1185,經國管理暨健康學院,基隆市,2 技職,3709,北部,,,,,,,,,未知
108,1188,大同技術學院,嘉義市,2 技職,1337,南部,私立,,,,,,60.0,22.3,私立
108,1192,臺灣觀光學院,花蓮縣,2 技職,608,東部,私立,,,,,,18.0,33.8,私立
108,1195,馬偕醫學院,新北市,1 一般,684,北部,,,,,,,,,未知
108,1196,法鼓文理學院,新北市,1 一般,305,北部,,,,,,,,,未知
108,1282,馬偕醫護管理專科學校,臺北市,2 技職,4223,北部,,,,,,,,,未知
108,1283,仁德醫護管理專科學校,苗栗縣,2 技職,6433,中部,私立,,,,,,209.0,30.8,私立
108,1284,樹人醫護管理專科學校,高雄市,2 技職,7286,南部,私立,,,,,,221.0,33.0,私立
108,1285,慈惠醫護管理專科學校,屏東縣,2 技職,4504,南部,私立,,,,,,152.0,29.6,私立
