區域,mean,median,std,count
東部,0.09790476190476191,0.098,0.04137620664331707,21
北部,0.08515873015873016,0.0755,0.036220748241506596,126
南部,0.08442528735632183,0.077,0.04534329831354739,87
離島,0.07966666666666666,0.0545,0.048322527527713884,6
中部,0.07205333333333333,0.069,0.029503043055751885,75
